@relation 'AT: exemplo4_weka-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R25-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.355pleasure-0.355dominance-0.329entropy_g-0.326entropy_b-0.32entropy_r... numeric
@attribute 0.362mean-0.33solidity-0.329perimeter+0.297entropy_r-0.291avg_size... numeric
@attribute -0.464sat_m-0.439tamura_contrast-0.427black-0.29saturation-0.25arousal... numeric
@attribute -0.507arousal-0.418saturation+0.315white+0.276pink+0.239tamura_contrast... numeric
@attribute 0.327dominance+0.319pleasure-0.31black+0.305hue_m-0.277total_area... numeric
@attribute 0.624hue_m+0.584val_m-0.176white+0.164gray-0.144green... numeric
@attribute 0.497orange-0.38blue+0.376brown+0.335yellow-0.331green... numeric
@attribute -0.649purple+0.416green+0.359count+0.277brown-0.207yellow... numeric
@attribute 0.694year-0.38count-0.33total_area-0.312red-0.201yellow... numeric
@attribute '-0.56yellow-0.362green+0.35 brown+0.323white-0.3gray...' numeric
@attribute '0.77 red-0.337yellow-0.234blue+0.231green-0.228orange...' numeric
@attribute '0.697year+0.41 count+0.323total_area+0.211red+0.203purple...' numeric
@attribute -0.616circ-0.392solidity+0.309perimeter+0.284avg_size+0.238total_area... numeric
@attribute 0.657blue-0.464green-0.448purple+0.267red+0.151gray... numeric
@attribute -0.55pink+0.404gray+0.396orange-0.281count+0.244perc_area... numeric
@attribute 0.589orange-0.455yellow+0.358pink-0.356brown-0.25white... numeric
@attribute 0.454total_area+0.413brown+0.368pink+0.302mean-0.235perimeter... numeric
@attribute -0.486gray-0.425count+0.328white+0.314total_area+0.261mean... numeric
@attribute -0.629perc_area+0.382avg_size+0.329mean+0.309gray-0.184count... numeric
@attribute -0.414blue-0.352brown+0.332saturation+0.329arousal-0.307green... numeric

@data
-0.991352,0.000286,-2.053826,-0.408718,1.00264,2.438923,1.060671,-0.345299,0.487948,-0.932492,-0.63057,0.316346,-0.930768,-0.160122,0.181035,0.609957,-0.059644,0.758406,-0.215454,-0.308299
-1.006181,0.12653,-2.163238,-1.027291,1.759769,2.53821,-1.054118,0.235429,0.338032,-0.08491,-0.401095,0.480927,-0.483879,0.919707,0.08459,0.387511,-0.622597,0.194243,0.188472,0.548709
-1.147084,0.486826,-2.469891,-0.656991,1.883403,2.067463,-2.1607,0.112049,0.118818,0.241963,-0.664695,0.544394,0.312597,2.074526,0.182679,0.253941,-0.836684,0.037547,0.200934,0.154688
-1.308358,0.76525,-2.130405,-0.426698,1.927835,1.986535,-0.5921,-0.224594,-0.193619,-0.058429,-0.313736,0.928478,-0.487009,0.986829,-0.158685,0.031887,-0.96638,0.242102,0.20437,-0.187587
2.283472,-0.49558,-1.521134,-2.447801,1.591892,1.783501,0.262035,0.648575,1.049757,0.541327,-0.0583,1.371258,0.195207,0.029673,-0.043088,-0.111584,0.219207,-0.005603,0.770177,1.827594
1.83623,-0.28042,-1.144797,-1.767266,0.505786,2.293443,-0.039671,0.808644,0.936255,-0.068621,-0.288332,1.396827,-1.201504,0.03016,-0.472557,0.169375,-0.21362,0.206671,0.71397,0.99888
0.576032,0.240142,-0.373394,0.570669,-0.489437,2.968048,-0.084919,0.425187,0.680166,-0.417921,0.213687,1.334882,-0.223949,0.26022,0.187583,-0.058527,0.135437,0.154565,-0.095319,-0.190191
-1.377841,0.802552,-0.09683,1.327161,-0.231073,2.988342,-0.617192,-0.061558,0.517819,-0.803738,0.444187,1.215271,0.536765,0.467389,0.637519,0.101294,0.135106,0.25421,-0.254726,0.132299
0.688301,0.951021,-0.551569,0.886717,-0.101491,2.977796,-0.106013,-0.131872,1.048199,-0.352552,0.280053,1.034006,0.319671,0.186732,-0.306498,-0.029133,-0.641751,0.777233,0.001407,-0.3369
1.049978,0.792126,-0.465595,0.760816,0.108645,3.021895,0.020367,-0.136048,1.136746,-0.268684,0.247197,1.01092,0.290655,0.129881,-0.40741,-0.044618,-0.677969,0.925309,-0.036797,-0.359941
0.107031,0.400259,0.005866,0.907369,-0.619669,2.877561,-0.12874,-0.158939,1.111757,-0.557239,0.337446,0.85927,-0.023685,0.249263,0.046611,-0.196859,-0.490353,0.843684,-0.173129,-0.554188
-0.795358,1.319602,-0.115101,1.655386,-0.192265,3.164407,-0.646074,0.19796,0.392561,-0.837747,0.314947,1.359651,0.281131,0.490956,0.628585,0.021131,-0.483941,-0.311704,0.327797,-0.553081
-1.808573,0.713531,-0.107741,2.31712,-0.235056,3.089232,-0.540173,-0.021025,0.458504,-0.699214,0.478525,1.279731,0.442171,0.403403,0.333579,0.307962,0.623486,0.379751,-0.20037,0.017326
0.316157,0.993547,-0.785205,0.134495,0.012363,2.821079,-0.125246,0.323243,0.775379,-0.161097,0.042915,1.337241,-0.104711,0.177578,-0.489933,0.145495,-0.458911,0.463729,-0.061186,0.164741
-0.498772,-0.565508,-1.546632,-2.791944,0.508382,2.833478,-2.437043,-4.184986,-0.102793,1.059496,-0.989094,2.448504,-3.054595,-3.055589,0.19103,0.089687,1.164535,0.695993,0.150153,-0.452614
0.843506,0.032091,-1.273686,-1.180002,0.401188,2.481605,-0.72671,-0.079609,0.569933,0.087425,-0.567405,1.743734,-1.714044,-0.486759,-0.705677,0.331607,-0.497543,0.410352,0.531612,0.607314
-0.766122,1.176031,-0.809054,1.02513,0.002624,2.870726,-0.189601,0.237737,0.65589,-0.116448,0.209166,1.35128,0.349856,0.246819,-0.376579,0.155183,-0.240172,0.261324,-0.224864,0.093433
1.212439,-0.106275,-0.551062,0.778052,0.765284,4.868261,0.313249,0.215619,1.097541,-0.301368,0.245648,1.208761,-0.047424,0.134389,-0.484085,0.054618,-0.098815,0.784599,-0.025067,-0.358937
-1.60685,0.471926,-0.435818,1.913717,0.387195,2.956112,-0.42486,0.320006,0.485926,-0.193187,0.089829,1.504794,-0.33967,0.184235,-0.383116,0.365428,0.184349,0.861584,-0.21073,0.397287
-1.610024,0.88844,-0.481284,0.910521,0.148063,3.302091,-0.5044,0.222138,0.556868,-0.591486,0.374417,1.264881,0.244376,0.420824,0.438845,0.08537,0.330485,0.247844,0.044829,0.28467
2.350213,-0.043,-0.604098,-0.755514,0.4712,2.406983,0.22655,0.097271,1.068475,0.047534,0.080509,1.218845,0.290326,0.086916,-0.336736,0.035489,-0.336972,0.648842,-0.048962,0.64618
0.219278,0.764808,-0.555072,1.040557,0.364314,2.595726,-0.053168,-0.01874,1.057589,-0.02034,0.114966,1.096727,-0.024022,0.065952,-0.646578,0.055314,-0.593183,1.126369,-0.037092,-0.010809
