@relation exemplo4_weka-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R28-34-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R25-weka.filters.unsupervised.attribute.Remove-R2_clustered

@attribute Instance_number numeric
@attribute year numeric
@attribute saturation numeric
@attribute tamura_contrast numeric
@attribute arousal numeric
@attribute pleasure numeric
@attribute dominance numeric
@attribute hue_m numeric
@attribute sat_m numeric
@attribute val_m numeric
@attribute black numeric
@attribute blue numeric
@attribute brown numeric
@attribute green numeric
@attribute gray numeric
@attribute orange numeric
@attribute pink numeric
@attribute purple numeric
@attribute red numeric
@attribute white numeric
@attribute yellow numeric
@attribute entropy_r numeric
@attribute entropy_g numeric
@attribute entropy_b numeric
@attribute count numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
0,2002,135.47885,2.40503,54.38271,89.68978,109.31289,179.25871,57.56629,49.09296,0.41873,0.01808,0.09852,0,0.19388,0.10193,0.09894,0.03195,0.00352,0.00843,0.02601,7.26128,7.48457,7.25776,89,cluster3
1,2002,193.66837,2.34957,88.77743,103.64664,129.20592,186.24051,56.70165,48.46639,0.34237,0.11468,0.03525,0.00521,0.35948,0.02488,0.05415,0.01794,0.00234,0.04198,0.00173,6.42859,7.26598,7.30987,225,cluster2
2,2002,196.2625,1.93343,87.14609,111.31281,137.85132,179.0972,57.5545,49.0321,0.19496,0.23593,0.00008,0,0.4817,0,0.01962,0.01798,0,0.04972,0,6.36062,7.73202,7.37639,248,cluster2
3,2002,173.66045,2.35464,71.18135,111.6901,136.51112,182.60025,56.15611,48.16818,0.2256,0.1157,0.05519,0.00025,0.3655,0.02992,0.04166,0.04079,0.01592,0.09169,0.01778,7.04485,7.84883,7.77065,316,cluster2
4,2010,218.57527,0.21473,125.1298,61.4756,84.69144,179.70779,57.25545,49.16041,0.8941,0,0.09831,0,0.00546,0,0.00156,0,0.00026,0.00031,0,6.62019,2.5216,2.62439,203,cluster0
5,2010,168.32655,0.65024,93.24084,54.29318,72.87699,179.00903,57.61277,49.01628,0.8566,0,0.056,0,0.07507,0.00035,0.00518,0.00022,0.00015,0.00643,0,6.56833,4.53178,4.40935,384,cluster0
6,2010,66.47505,1.76013,20.2171,58.40151,69.49016,179.00191,57.67502,49.13991,0.54027,0,0.09203,0,0.3385,0.00009,0.02877,0.00004,0,0.0003,0,6.4627,6.40409,6.26498,271,cluster3
7,2010,66.70599,1.75334,7.59411,86.85708,100.85047,182.55196,55.7484,47.81593,0.32932,0,0.0288,0,0.55807,0.00003,0.08268,0.00001,0,0.00109,0,7.64795,7.5567,7.40713,134,cluster2
8,2010,69.7415,1.23336,22.78501,57.76676,69.04475,179.56358,57.43863,49.22146,0.66288,0,0.02754,0,0.26464,0.00004,0.04359,0.00004,0,0.00126,0.00001,7.19284,7.23893,7.02029,144,cluster3
9,2010,69.10609,1.02661,22.99277,56.31595,67.3974,182.49387,57.0001,49.02377,0.75508,0,0.02482,0,0.18716,0,0.03262,0.00001,0,0.0003,0,6.94495,6.99146,6.78469,118,cluster3
10,2010,49.15952,1.28708,8.13192,58.36674,68.10678,179.6476,56.59504,48.14101,0.57895,0,0.04719,0,0.32257,0.00016,0.03043,0.00001,0,0.02069,0,7.3448,7.3494,7.22533,40,cluster3
11,2010,53.14378,1.32963,-0.95568,84.79145,97.52175,182.14662,56.79493,48.20247,0.24892,0,0.04215,0,0.66785,0.00019,0.03759,0.00001,0,0.00329,0,7.58024,7.49481,7.36908,302,cluster2
12,2010,42.65506,1.69855,-13.57876,96.57296,109.68371,178.64305,57.45157,48.96866,0.21016,0,0.02815,0,0.55069,0.00029,0.17279,0.00001,0,0.0379,0,7.79918,7.75761,7.62779,135,cluster2
13,2010,104.46552,1.46629,44.25456,63.99235,78.59933,181.23631,56.63997,48.74509,0.6503,0,0.05381,0,0.24039,0.00022,0.05482,0.00001,0,0.00046,0,7.17031,7.23201,6.92598,360,cluster3
14,2010,171.70705,0.85333,87.34244,72.68017,93.39193,181.37698,56.47311,48.09705,0.45544,0,0.00326,0,0.09467,0,0.01214,0.42151,0,0.01298,0,7.3352,6.20541,7.53971,71,cluster3
15,2010,155.49976,1.31381,79.06187,65.90094,84.66594,179.06841,57.61193,49.00832,0.72814,0,0.00034,0,0.11696,0,0.03018,0.07211,0,0.05228,0,6.01879,5.71726,7.21029,460,cluster3
16,2010,89.10361,1.77383,25.66423,81.47562,96.66293,179.30472,57.51549,49.03588,0.45654,0,0.06546,0,0.35392,0.00073,0.11108,0.00003,0,0.01223,0,7.78309,7.76101,7.44466,341,cluster3
17,2010,61.57776,1.54626,18.37907,54.87496,65.22542,202.25453,58.3251,49.97447,0.63984,0,0.06166,0,0.20888,0.00308,0.08257,0.00001,0,0.0027,0.00127,6.47468,6.51722,6.21156,99,cluster3
18,2010,72.52122,2.49978,4.61435,102.53493,118.57055,182.37057,56.67306,49.07308,0.351,0,0.00195,0,0.33352,0,0.18422,0,0,0.12931,0,7.74925,7.78243,7.76418,280,cluster2
19,2010,91.62071,1.6529,21.97725,93.59743,110.21002,184.31583,55.66095,48.73737,0.29181,0,0.0711,0,0.53125,0.00002,0.10285,0,0,0.00297,0,7.85343,7.73162,7.36756,168,cluster2
20,2010,121.22555,0.47365,66.86462,39.73668,53.18488,182.8856,57.04918,48.37459,0.92036,0,0.03328,0,0.03634,0.00007,0.00633,0.00002,0.00078,0.00284,0,5.92338,4.81393,4.72622,166,cluster0
21,2010,82.15817,2.02087,24.89777,72.37809,86.10294,182.78737,56.75697,48.16078,0.64607,0,0.01697,0,0.16137,0.00012,0.094,0.00002,0,0.08144,0,7.10662,7.37552,7.34573,164,cluster3
22,2010,49.20496,1.44993,5.51178,64.26935,74.61173,179.25269,56.7501,48.37084,0.61749,0,0.06189,0,0.18508,0.00017,0.12821,0.00012,0.00001,0.00703,0,7.21668,7.25935,7.08039,172,cluster3
23,2010,84.55389,1.31264,38.06654,46.79346,58.10887,179.62398,57.21502,49.23792,0.68744,0,0.17191,0,0.08877,0.00075,0.05016,0.00004,0,0.00093,0,5.86598,5.69709,5.55691,70,cluster0
24,2010,65.26962,0.79157,29.37914,36.13357,44.86952,181.1118,55.76959,48.07932,0.88917,0,0.01074,0,0.06484,0,0.01567,0.00001,0,0.01957,0,5.75584,6.06321,5.92608,97,cluster0
25,2010,79.79971,1.50724,29.10253,59.35057,71.57057,178.7135,57.52534,48.9751,0.65311,0,0.04659,0,0.22959,0.00013,0.03365,0.00003,0,0.0369,0,7.01383,7.10829,6.90962,250,cluster3
26,2010,69.71432,3.13267,5.33583,96.56297,111.7747,179.59831,57.65655,49.16185,0.48588,0,0.00027,0,0.10602,0,0.16566,0,0,0.24217,0,7.14764,7.19498,7.22196,64,cluster3
27,2010,91.9514,1.49701,35.76501,63.42293,77.00003,182.67537,56.97955,48.39404,0.65184,0,0.02766,0,0.23814,0.00215,0.05791,0.00001,0,0.02217,0.0001,7.26427,7.28802,7.05677,324,cluster3
28,2010,67.13547,0.97566,17.96314,64.44567,76.1988,179.34872,56.78016,48.41428,0.5944,0,0.08066,0,0.3012,0.00048,0.01956,0.00003,0,0.00367,0,7.24711,7.19132,6.86231,358,cluster3
29,2010,52.42233,1.26028,-2.35176,86.77666,99.65232,179.5528,57.32911,49.16295,0.21009,0,0.01668,0,0.70576,0.00046,0.06344,0.00002,0,0.00355,0,7.68193,7.55515,7.26721,221,cluster2
30,2010,58.46616,1.62691,10.78934,66.92819,78.25972,179.38261,56.63511,48.16911,0.51663,0,0.01682,0,0.4602,0,0.00635,0,0,0,0,7.19962,7.23248,7.06644,213,cluster3
31,2010,50.51907,1.43988,2.63153,72.72433,84.02654,181.83936,57.40055,48.27256,0.36649,0,0.07461,0,0.55071,0.00017,0.00767,0.00001,0.00006,0.00029,0,7.04179,7.0086,6.88005,26,cluster2
32,2010,62.8565,2.80134,-6.27962,111.7495,127.96918,179.64606,57.35801,49.16963,0.35519,0,0.00017,0,0.18095,0,0.15421,0,0,0.30947,0,7.6986,7.40119,7.53775,134,cluster1
33,2010,69.06004,0.89481,22.38464,57.5979,68.80583,179.68607,57.70441,49.22148,0.58711,0,0.03788,0,0.35635,0.00047,0.01433,0.00003,0,0.00342,0.00042,7.12781,7.21282,6.95967,375,cluster3
34,2010,62.39381,0.7601,20.10609,52.30029,62.45294,179.61874,57.67902,49.1339,0.63046,0,0.11658,0,0.23979,0.00092,0.01102,0.0007,0,0.00052,0,7.101,6.97723,6.74398,710,cluster3
35,2010,82.76042,1.33169,31.62791,58.33489,70.68184,182.21529,56.05432,49.00066,0.66899,0,0.03281,0,0.2291,0.00206,0.04371,0.00007,0,0.02282,0.00045,7.0067,7.22748,7.06267,391,cluster3
36,2010,89.47191,0.9196,38.9476,52.48229,64.75686,180.45042,56.8456,48.16842,0.77521,0,0.016,0,0.1902,0.00021,0.01276,0.00002,0,0.0056,0,6.78899,7.01069,6.84681,323,cluster3
37,2010,61.59918,1.01529,11.24983,70.77658,82.74191,180.25697,56.81956,48.2861,0.3621,0,0.03268,0,0.57853,0.00049,0.02506,0.00004,0,0.00109,0,7.46363,7.38474,7.16977,721,cluster2
38,2010,76.79618,1.30253,25.64181,62.38152,74.67569,178.79536,57.06321,48.94078,0.58758,0,0.03717,0.0002,0.3058,0.00002,0.05487,0.00024,0,0.01412,0,7.26054,7.36141,7.20048,357,cluster3
39,2010,78.29305,1.21768,23.19256,70.16143,83.36116,179.69824,57.71499,49.22967,0.43108,0,0.12381,0,0.39258,0.00116,0.03501,0.00005,0,0.01628,0.00003,7.61861,7.49462,7.27205,364,cluster3
40,2010,83.7904,0.631,39.41486,42.60477,53.43593,178.88222,57.52537,49.03154,0.8676,0,0.04011,0,0.09123,0,0.00077,0,0,0.00029,0,6.36014,6.52931,6.13939,683,cluster0
41,2010,65.90116,1.3149,18.35989,61.64263,73.01551,181.55312,57.19,48.27035,0.52437,0,0.0222,0,0.45087,0,0.00098,0.00001,0,0.00158,0,7.19011,7.22448,6.99682,170,cluster3
42,2010,70.96308,0.7587,24.77364,55.2406,66.35721,179.87929,56.60336,48.20213,0.69039,0,0.06232,0,0.23193,0,0.0153,0,0,0.00006,0,6.98387,6.98376,6.6245,537,cluster3
43,2010,101.89961,1.34826,37.41024,75.23525,90.78349,182.57751,56.90222,49.07851,0.47024,0,0.02004,0,0.44181,0.00036,0.05294,0.00003,0,0.01458,0,7.28334,7.5729,7.44548,264,cluster2
44,2010,32.21395,2.13121,-12.23412,77.33906,87.68747,179.74516,57.38719,49.18752,0.36007,0,0.0017,0,0.62044,0,0.0175,0,0,0.00029,0,6.01299,5.8719,5.81424,12,cluster2
45,2010,75.92453,1.09898,24.36251,63.87314,76.25093,178.8967,57.5101,49.05937,0.59178,0,0.06782,0,0.30863,0.00001,0.03096,0,0,0.00081,0,7.40058,7.32487,6.97661,308,cluster3
46,2010,71.84834,0.91418,26.17104,53.50726,64.5168,179.89536,56.71043,48.25805,0.78196,0,0.04068,0,0.15725,0,0.01875,0.00002,0,0.00134,0,6.8504,6.82403,6.55967,133,cluster0
47,2010,117.29625,1.65346,21.81051,133.90646,156.60287,178.84508,57.02832,48.80215,0.04728,0,0.23402,0,0.31238,0.01744,0.35319,0.00001,0,0.03559,0.0001,7.31765,7.70696,7.60954,197,cluster1
48,2010,60.97364,2.17138,6.8233,79.65617,92.47374,179.56041,57.1839,49.2076,0.39415,0,0.07046,0,0.34367,0.00098,0.17588,0,0,0.01486,0,6.67768,6.66697,6.47698,198,cluster3
49,2010,83.32062,0.97411,32.37606,57.54103,69.85097,182.74826,56.62944,48.9609,0.6307,0,0.00642,0,0.3435,0,0.01176,0.00001,0,0.00761,0,6.76424,7.16804,6.83585,383,cluster3
50,2010,73.92172,1.06288,5.22196,103.36098,119.5892,179.34157,57.13577,49.21973,0.07071,0,0.05683,0,0.76145,0.00068,0.10991,0,0,0.00043,0,7.63694,7.38697,6.99859,356,cluster2
51,2010,81.73741,1.95082,21.82375,78.56578,92.88567,179.05148,57.60291,49.18162,0.50326,0,0.01285,0,0.40196,0,0.07408,0.00001,0,0.00785,0,7.40569,7.43284,7.26351,325,cluster3
52,2010,82.76235,1.13361,28.6583,64.94767,77.96564,187.44566,57.81144,49.83631,0.56651,0,0.12331,0,0.28573,0.00008,0.02407,0.00003,0,0.00027,0,7.43362,7.33441,6.98267,565,cluster3
53,2010,85.31524,0.76663,14.10479,101.31194,118.21735,179.00732,57.10598,49.05584,0.09902,0,0.00625,0,0.88598,0.00021,0.00739,0.00001,0,0.00113,0,7.05418,6.99412,7.12984,35,cluster2
54,1991,151.8206,3.06171,70.76025,78.65587,98.42905,178.99947,57.64081,49.08933,0.54537,0.05277,0.02477,0.24443,0.0677,0.0026,0.02423,0.01372,0.00759,0.0144,0.00242,3.58511,4.4616,4.55071,27,cluster3
55,1991,43.06355,0.60528,23.87358,13.8467,18.59666,179.75143,57.39004,49.24067,0.9543,0.00541,0.01057,0,0.02382,0,0.00014,0.0043,0.0013,0.00014,0,1.20089,1.28288,1.47906,193,cluster0
56,1991,63.89434,0.94429,34.94018,21.61652,28.77289,179.23404,57.5627,49.08505,0.92049,0.0088,0.01771,0.00002,0.04016,0,0.0002,0.00751,0.00491,0.0002,0,1.71797,1.80455,2.0953,202,cluster0
57,1991,76.36278,1.12045,41.57579,26.24141,34.83553,179.60947,57.45779,49.23198,0.9221,0.00632,0.01116,0.00004,0.05586,0,0.00041,0.0027,0.0011,0.00032,0,1.81122,2.15252,2.34405,278,cluster0
58,1991,62.10682,0.84856,34.49424,19.82865,26.66479,182.38669,55.94188,48.25893,0.92915,0.00007,0.00043,0.00044,0.04105,0.00006,0.00064,0.02467,0,0,0.00349,1.65803,1.59361,2.05683,142,cluster0
59,1991,26.20825,0.27372,15.08926,7.18072,9.94509,179.73,56.77065,48.32282,0.98627,0,0.00002,0.00029,0.00718,0.00006,0.00014,0.00465,0,0,0.0014,0.60033,0.63725,0.74995,44,cluster0
60,1991,51.26718,0.87626,27.86262,17.72847,23.5095,182.18538,56.86282,48.73168,0.93936,0.00001,0.01581,0,0.00692,0.01337,0.00265,0.00569,0.00538,0.01081,0,1.69857,1.37001,1.51692,167,cluster0
61,1991,0,0.42912,-0.77899,1.73389,1.90979,180.77771,56.41416,47.81697,0.99041,0,0,0,0,0,0.00012,0,0,0.00947,0,0.25773,0.25773,0.25773,29,cluster0
62,1991,12.36614,0.37795,6.57081,4.60998,6.03827,185.12248,55.82625,49.11948,0.98598,0,0,0,0.0087,0,0.00529,0,0,0.00004,0,0.41349,0.55706,0.43994,42,cluster0
63,1991,11.9358,0.15414,6.87561,3.26216,4.52029,179.04909,57.61089,49.17126,0.99457,0,0,0,0.00543,0,0,0,0,0,0,0.23899,0.35197,0.29897,18,cluster0
64,1991,3.3694,1.3618,-2.178,10.08884,11.37409,178.68056,57.01866,48.87165,0.92561,0,0,0,0.05096,0,0.01742,0,0,0.00601,0,1.36883,1.38664,1.37691,207,cluster0
65,1991,0,0.33741,-0.64866,1.44379,1.59026,178.68036,57.46688,48.96831,0.98837,0,0,0,0.00846,0,0.00317,0,0,0,0,0.32118,0.32118,0.32118,35,cluster0
66,1991,12.95897,1.05626,4.47665,10.19332,12.23409,179.09872,57.13969,49.08018,0.92725,0,0,0,0.07048,0,0.00228,0,0,0,0,1.32618,1.49446,1.4413,192,cluster0
67,1991,0,1.72572,-5.64079,12.55531,13.82904,181.8559,57.37305,48.24696,0.89715,0,0,0,0.07376,0,0.02751,0,0,0.00158,0,1.62579,1.62579,1.62579,311,cluster0
68,1991,0,1.84189,-6.11093,13.60174,14.98163,182.57855,55.75496,47.8255,0.88751,0,0,0,0.0822,0,0.02997,0,0,0.00032,0,1.6413,1.6413,1.6413,337,cluster0
69,1991,2.11542,0.28788,0.72405,1.6789,2.01355,179.49838,57.59074,49.05249,0.98996,0,0,0,0.00803,0,0.00201,0,0,0,0,0.29035,0.30325,0.29381,24,cluster0
70,1991,0,1.85858,-6.24927,13.90966,15.32078,178.61644,57.4805,48.99518,0.88581,0,0,0,0.08258,0,0.03129,0,0,0.00032,0,1.85214,1.85214,1.85214,358,cluster0
71,1991,0,1.38055,-4.16007,9.25951,10.19888,182.41841,57.01343,49.14101,0.9236,0,0,0,0.05507,0,0.02102,0,0,0.00032,0,1.22593,1.22593,1.22593,229,cluster0
72,1991,0,0.41281,-0.84954,1.89091,2.08274,181.84628,57.07981,48.56311,0.98478,0,0,0,0.01114,0,0.00408,0,0,0,0,0.4087,0.4087,0.4087,46,cluster0
73,1991,0,0.66108,-1.58277,3.52295,3.88035,179.42487,56.91568,48.47151,0.97156,0,0,0,0.02052,0,0.00761,0,0,0.00032,0,0.64981,0.64981,0.64981,85,cluster0
74,1991,11.30288,2.12818,0.04114,17.48987,20.14223,179.38048,57.57619,49.09902,0.90846,0,0,0,0.01497,0,0.00155,0,0,0.07502,0,1.51757,1.48303,1.53977,279,cluster0
75,1991,13.00315,1.34305,3.6598,12.08018,14.3158,179.43645,56.79987,48.4044,0.92251,0,0.00001,0,0.05905,0,0.01843,0,0,0,0,1.5964,1.52475,1.48098,239,cluster0
76,1991,6.12639,0.85029,1.39947,6.41456,7.54121,183.77045,57.14996,49.16376,0.95799,0,0,0,0.03225,0,0.00945,0,0,0.00032,0,0.87758,0.93607,0.89941,105,cluster0
77,1991,18.58457,0.39611,10.45089,5.64635,7.66283,179.29561,56.81843,48.44721,0.98869,0,0,0,0.00531,0.00559,0.00012,0,0,0,0.00028,0.50585,0.49518,0.46732,22,cluster0
78,1991,134.34415,3.94886,59.34516,76.8793,95.11466,182.57851,57.06442,49.07738,0.5919,0.00132,0.00773,0.21108,0.08455,0.01731,0.02527,0.00171,0.01996,0.0389,0.00026,3.04503,4.25904,3.29719,25,cluster3
79,1991,18.57583,2.44427,3.84331,20.33994,23.8464,179.23747,56.55738,48.03783,0.8583,0,0.00844,0,0.00496,0,0.09904,0,0.0282,0.00106,0,2.38674,2.10508,2.13357,199,cluster0
80,1991,15.88879,0.70897,8.10032,6.68502,8.59747,179.61926,57.66143,49.1555,0.97573,0,0,0,0.00553,0.01622,0.00199,0,0,0,0.00053,0.60171,0.59466,0.47237,6,cluster0
81,1991,22.09249,2.29163,6.70559,19.43917,23.12743,178.85777,57.48401,48.99718,0.8606,0.01213,0.0191,0,0.00535,0,0.09273,0.00098,0.00883,0.00028,0,2.09786,1.93955,2.10206,193,cluster0
82,1991,194.82564,3.08347,91.97588,98.32764,123.43719,179.59857,57.62585,49.03456,0.17128,0.07214,0.17409,0,0.00716,0.00004,0.17769,0.20662,0.18986,0.00108,0.00002,6.29185,4.4604,5.98346,256,cluster1
83,1991,193.29706,3.12571,92.13458,95.59671,120.31046,179.36713,57.57174,49.08466,0.20561,0.07192,0.17393,0,0.00741,0.00004,0.17312,0.17712,0.18986,0.00098,0.00002,6.15933,4.35612,5.85624,260,cluster4
84,1991,19.6969,0.90279,9.41227,9.68832,12.20127,181.84314,57.04177,48.2697,0.94088,0,0.00981,0,0.00094,0,0.02191,0,0.02596,0.00051,0,1.04324,0.77689,0.82917,35,cluster0
85,1991,224.27042,2.65754,117.17732,88.03496,114.38763,180.04015,56.1858,48.85253,0.04525,0.72388,0.03625,0,0.00531,0.00002,0.13639,0.03404,0.01459,0.00425,0.00002,3.74484,3.28313,5.00018,275,cluster1
86,1991,216.47424,2.80483,112.50794,86.3013,111.87248,179.74677,57.39938,49.18055,0.07393,0.67995,0.04016,0,0.00535,0.00004,0.14648,0.03459,0.01562,0.00382,0.00004,4.06696,3.54333,5.48837,295,cluster1
87,1991,216.42503,2.91371,111.99721,87.36152,113.03643,181.87891,56.84292,48.00492,0.08545,0.62832,0.03678,0.0437,0.01054,0.00002,0.14331,0.03314,0.01487,0.00385,0.00002,4.26817,4.03198,5.87546,290,cluster1
88,1991,240.55016,1.65049,107.81696,134.19218,166.49211,178.84882,57.49,48.99222,0.14343,0,0.02561,0.67686,0.06726,0,0.01746,0.02861,0.03703,0.00374,0,4.09996,5.03311,3.32615,1,cluster1
